year,canton,haildays_sum,lat_lon,haildays_per_point
2018,NE,384,890,0.4314606741573034
2019,NE,236,890,0.2651685393258427
2020,NE,105,890,0.11797752808988764
2021,NE,2132,890,2.3955056179775283
2022,NE,1035,890,1.1629213483146068
2002,NW,40,266,0.15037593984962405
2003,NW,557,266,2.093984962406015
2004,NW,181,266,0.6804511278195489
2005,NW,149,266,0.5601503759398496
2006,NW,529,266,1.9887218045112782
2007,NW,326,266,1.2255639097744362
2008,NW,205,266,0.7706766917293233
2009,NW,236,266,0.8872180451127819
2010,NW,350,266,1.3157894736842106
2011,NW,430,266,1.6165413533834587
2012,NW,208,266,0.7819548872180451
2013,NW,118,266,0.44360902255639095
2014,NW,16,266,0.06015037593984962
2015,NW,344,266,1.2932330827067668
2016,NW,301,266,1.131578947368421
2017,NW,440,266,1.6541353383458646
2018,NW,16,266,0.06015037593984962
2019,NW,153,266,0.575187969924812
2020,NW,182,266,0.6842105263157895
2021,NW,309,266,1.1616541353383458
2022,NW,960,266,3.6090225563909772
2002,OW,238,689,0.3454281567489115
2003,OW,979,689,1.420899854862119
2004,OW,239,689,0.3468795355587808
2005,OW,264,689,0.38316400580551524
2006,OW,1018,689,1.4775036284470247
2007,OW,778,689,1.1291727140783745
2008,OW,867,689,1.258345428156749
2009,OW,729,689,1.058055152394775
2010,OW,298,689,0.432510885341074
2011,OW,758,689,1.100145137880987
2012,OW,650,689,0.9433962264150944
2013,OW,460,689,0.6676342525399129
2014,OW,29,689,0.0420899854862119
2015,OW,858,689,1.2452830188679245
2016,OW,514,689,0.7460087082728593
2017,OW,1384,689,2.008708272859216
2018,OW,144,689,0.20899854862119013
2019,OW,259,689,0.37590711175616837
2020,OW,408,689,0.5921625544267054
2021,OW,926,689,1.3439767779390421
2022,OW,1654,689,2.4005805515239476
2002,SG,1999,1972,1.0136916835699796
2003,SG,2502,1972,1.268762677484787
2004,SG,1688,1972,0.8559837728194726
2005,SG,746,1972,0.37829614604462475
2006,SG,1919,1972,0.9731237322515213
2007,SG,822,1972,0.41683569979716023
2008,SG,2282,1972,1.1572008113590264
2009,SG,2268,1972,1.1501014198782962
2010,SG,1758,1972,0.8914807302231237
2011,SG,1680,1972,0.8519269776876268
2012,SG,1124,1972,0.5699797160243407
2013,SG,588,1972,0.29817444219066935
2014,SG,181,1972,0.09178498985801217
2015,SG,917,1972,0.46501014198782964
2016,SG,450,1972,0.2281947261663286
2017,SG,1433,1972,0.7266734279918864
2018,SG,898,1972,0.4553752535496957
2019,SG,833,1972,0.4224137931034483
2020,SG,810,1972,0.4107505070993915
2021,SG,2925,1972,1.4832657200811359
2022,SG,2623,1972,1.3301217038539555
2002,SH,218,231,0.9437229437229437
2003,SH,164,231,0.70995670995671
2004,SH,178,231,0.7705627705627706
2005,SH,237,231,1.025974025974026
2006,SH,222,231,0.961038961038961
2007,SH,32,231,0.13852813852813853
2008,SH,221,231,0.9567099567099567
2009,SH,263,231,1.1385281385281385
2010,SH,17,231,0.0735930735930736
2011,SH,418,231,1.8095238095238095
2012,SH,102,231,0.44155844155844154
2013,SH,62,231,0.2683982683982684
2014,SH,22,231,0.09523809523809523
2015,SH,141,231,0.6103896103896104
2016,SH,72,231,0.3116883116883117
2017,SH,312,231,1.3506493506493507
2018,SH,139,231,0.6017316017316018
2019,SH,30,231,0.12987012987012986
2020,SH,5,231,0.021645021645021644
2021,SH,223,231,0.9653679653679653
2022,SH,275,231,1.1904761904761905
2002,SO,808,779,1.0372272143774068
2003,SO,621,779,0.7971758664955071
2004,SO,541,779,0.6944801026957638
2005,SO,880,779,1.1296534017971758
2006,SO,1431,779,1.8369704749679077
2007,SO,899,779,1.1540436456996148
2008,SO,444,779,0.5699614890885751
2009,SO,1160,779,1.4890885750962772
2010,SO,409,779,0.5250320924261874
2011,SO,1112,779,1.4274711168164314
2012,SO,124,779,0.15917843388960207
2013,SO,198,779,0.25417201540436457
2014,SO,111,779,0.14249037227214378
2015,SO,441,779,0.5661103979460848
2016,SO,165,779,0.21181001283697048
2017,SO,832,779,1.0680359435173299
2018,SO,477,779,0.6123234916559692
2019,SO,434,779,0.5571245186136072
2020,SO,167,779,0.21437740693196405
2021,SO,708,779,0.9088575096277278
2022,SO,1450,779,1.8613607188703467
2002,SZ,471,968,0.4865702479338843
2003,SZ,1340,968,1.384297520661157
2004,SZ,472,968,0.48760330578512395
2005,SZ,398,968,0.41115702479338845
2006,SZ,1738,968,1.7954545454545454
2007,SZ,765,968,0.7902892561983471
2008,SZ,1367,968,1.412190082644628
2009,SZ,613,968,0.6332644628099173
2010,SZ,1139,968,1.1766528925619835
2011,SZ,877,968,0.90599173553719
2012,SZ,1176,968,1.2148760330578512
2013,SZ,383,968,0.3956611570247934
2014,SZ,392,968,0.4049586776859504
2015,SZ,848,968,0.8760330578512396
2016,SZ,437,968,0.45144628099173556
2017,SZ,1206,968,1.2458677685950412
2018,SZ,280,968,0.2892561983471074
2019,SZ,729,968,0.753099173553719
2020,SZ,679,968,0.7014462809917356
2021,SZ,2565,968,2.649793388429752
2022,SZ,3128,968,3.231404958677686
2002,TG,943,926,1.0183585313174945
2003,TG,580,926,0.6263498920086393
2004,TG,1078,926,1.16414686825054
2005,TG,302,926,0.326133909287257
2006,TG,462,926,0.49892008639308855
2007,TG,196,926,0.21166306695464362
2008,TG,591,926,0.6382289416846653
2009,TG,1765,926,1.906047516198704
2010,TG,347,926,0.3747300215982721
2011,TG,1106,926,1.1943844492440605
2012,TG,424,926,0.45788336933045354
2013,TG,149,926,0.16090712742980562
